2317621	Zoyita	Zoyita		10.01582	12.47561	P	PPL	NG		35	2018			0		631	Africa/Lagos	2016-01-30
2317622	Zotori Hill	Zotori Hill	Zotori Hill	12.3995	3.79819	T	HLL	NG		40	502	50202		0		276	Africa/Lagos	2018-12-04
2317623	Zoto	Zoto		12.75584	8.58363	P	PPL	NG		39	18019	JI2709		0		423	Africa/Lagos	2016-06-22
2317624	Zorori	Zorori		12.3804	6.72908	H	STM	NG		57				0		401	Africa/Lagos	2009-05-27
2317625	Abudu Salam	Abudu Salam	Abudu Salam,Zoro	11.68102	11.3691	P	PPL	NG		44	705	70510		0		402	Africa/Lagos	2016-06-22
2317626	Zoro	Zoro	Zoro	10.94914	10.43974	P	PPL	NG		46	5005	BA0517		0		516	Africa/Lagos	2016-06-22
2317627	Zore	Zore		7.98482	11.32499	P	PPL	NG		43	35004			0		414	Africa/Lagos	2023-06-14
2317628	Zor	Zor		7.11046	8.69298	P	PPL	NG		26	7010			0		106	Africa/Lagos	2016-01-30
2317629	Zonkwha Hill	Zonkwha Hill	Zonkwha Hill	9.84281	8.72091	T	HLL	NG		49	32002			0		1221	Africa/Lagos	2018-12-04
2317630	Zonkwa	Zonkwa	Zankuwa,Zenkuwa,Zonkwa	9.78453	8.29056	P	PPLA2	NG		23	19022	KD2210		0		859	Africa/Lagos	2016-06-22
2317631	Zoni	Zoni		11.46659	11.07098	P	PPL	NG		44	704	70405		0		483	Africa/Lagos	2016-06-22
2317632	Zongon Konbi Jauro Shuaibu	Zongon Konbi Jauro Shuaibu		8.80344	11.04993	P	PPL	NG		43	35001			0		178	Africa/Lagos	2016-01-30
2317633	Zongondaji	Zongondaji		7.8092	6.6432	P	PPL	NG		41	23001			0		143	Africa/Lagos	2016-01-30
2317634	Zongo Mata	Zongo Mata		7.03285	10.94354	P	PPL	NG		43	35011			0		599	Africa/Lagos	2016-01-30
2317635	Zongo Mari	Zongo Mari	Zongo Mari	10.35086	10.87886	P	PPL	NG		55	16001			0		421	Africa/Lagos	2016-01-30
2317636	Zongoma Kyari	Zongoma Kyari		10.47087	11.2758	P	PPL	NG		55	16008			0		356	Africa/Lagos	2016-01-30
2317637	Zongo Biriji	Zongo Biriji	Zongo Biriji	8.6623	11.20911	T	MT	NG		43	35001			0		574	Africa/Lagos	2018-12-04
2317638	Zongoagia	Zongoagia		6.98862	11.01121	P	PPL	NG		43	35011			0		1386	Africa/Lagos	2023-06-14
2317639	Zongo	Zongo		11.38685	8.63911	P	PPL	NG		29	20033	KN2303		0		590	Africa/Lagos	2016-06-22
2317640	Zongo	Zongo		9.13708	8.61954	P	PPL	NG		23	19020	KD2003		0		561	Africa/Lagos	2016-06-22
2317641	Zongo	Zongo		8.21248	9.40582	P	PPL	NG		43	35006			0		139	Africa/Lagos	2022-04-17
2317642	Zongo	Zongo		6.88333	9.75	P	PPL	NG		43	35012			0		197	Africa/Lagos	2016-01-30
2317643	Zonge	Zonge		10.27492	11.76434	P	PPL	NG		27	104	10405		0		245	Africa/Lagos	2016-06-22
2317644	Zongbi	Zongbi		7.8	12.06667	P	PPL	NG		35	2019			0		892	Africa/Lagos	2016-01-30
2317645	Zondo	Zondo	Ruga Duka,Zondo	11.55308	4.18326	P	PPL	NG		40	505	50511		0		161	Africa/Lagos	2016-06-22
2317646	Zona	Zona		10.40113	11.89154	P	PPL	NG		27	118	11810		0		335	Africa/Lagos	2016-06-22
2317647	Zomo	Zomo		10.79314	8.91222	P	PPL	NG		46	5018	BA1809		0		729	Africa/Lagos	2016-06-22
2317648	Zoman	Zoman		7.07169	8.90257	P	PPL	NG		26	7022			0		153	Africa/Lagos	2016-01-30
2317649	Zoma	Zoma		12.69678	8.36526	P	PPL	NG		39	18009	JI1211		0		466	Africa/Lagos	2016-06-22
2317650	Zoma	Zoma		10.58333	5.3	P	PPL	NG		31	27014			0		312	Africa/Lagos	2016-01-30
2317651	Zoloki	Zoloki	Zallaki,Zoloki	10.13419	8.97004	P	PPL	NG		49	32002			0		867	Africa/Lagos	2016-01-30
2317652	Zolo	Zolo		12.91561	10.59571	P	PPL	NG		44	710	71007		0		348	Africa/Lagos	2016-06-22
2317653	River Zole	River Zole		9.20842	6.60769	H	STM	NG		31				0		210	Africa/Lagos	2015-06-07
