7012037	Gidan Kuka	Gidan Kuka		13.72069	5.82569	P	PPL	NG		51	604	60401		0		304	Africa/Lagos	2016-06-22
7012038	Gidankaro	Gidankaro		13.75323	5.72172	P	PPL	NG		51	604	60401		0		320	Africa/Lagos	2016-06-22
7012039	Edoli	Edoli		13.77442	5.65687	P	PPL	NG		51	604	60402		0		324	Africa/Lagos	2016-06-22
7012040	Masuki	Masuki		13.77114	5.64786	P	PPL	NG		51	604	60402		0		316	Africa/Lagos	2016-06-22
7012041	Lungusi	Lungusi		13.76117	5.66545	P	PPL	NG		51	604	60402		0		312	Africa/Lagos	2016-06-22
7012042	Tunga	Tunga		13.76446	5.63302	P	PPL	NG		51	604	60402		0		321	Africa/Lagos	2016-06-22
7012043	Zenge	Zenge		13.82688	5.52927	P	PPL	NG		51	604	60404		0		312	Africa/Lagos	2016-06-22
7012044	Gakuke	Gakuke		13.8202	5.53817	P	PPL	NG		51	604	60404		0		312	Africa/Lagos	2016-06-22
7012045	Kadadi	Kadadi		13.81575	5.53605	P	PPL	NG		51	604	60404		0		304	Africa/Lagos	2016-06-22
7012046	Tantarkwai	Tantarkwai		13.79541	5.55195	P	PPL	NG		51	604	60404		0		333	Africa/Lagos	2016-06-22
7012047	Gidan Burema	Gidan Burema		13.77739	5.53308	P	PPL	NG		51	604	60406		0		334	Africa/Lagos	2016-06-22
7012048	Gidanzafi	Gidanzafi		13.81289	5.51518	P	PPL	NG		51	604	60404		0		319	Africa/Lagos	2016-06-22
7012049	Masuka	Masuka	Masuka,Mosuka	13.80441	5.52482	P	PPL	NG		51	604	60404		0		314	Africa/Lagos	2016-06-22
7012050	Gidangaina	Gidangaina		13.7953	5.51941	P	PPL	NG		51	604	60406		0		323	Africa/Lagos	2016-06-22
7012051	Roga	Roga		13.75799	5.36426	P	PPL	NG		51	608	60801		0		304	Africa/Lagos	2016-06-22
7012052	Gidan Kiasu	Gidan Kiasu		13.72959	5.34328	P	PPL	NG		51	608	60807		0		288	Africa/Lagos	2016-06-22
7012053	Nasarawa	Nasarawa		13.74676	5.39097	P	PPL	NG		51	608	60801		0		309	Africa/Lagos	2016-06-22
7012054	Gidan Ajia	Gidan Ajia		13.7634	5.41068	P	PPL	NG		51	608	60809		0		320	Africa/Lagos	2016-06-22
7012055	Lafanichiwake	Lafanichiwake		13.74825	5.42435	P	PPL	NG		51	608	60801		0		318	Africa/Lagos	2016-06-22
7012056	Gidan Ajia	Gidan Ajia		13.73606	5.43739	P	PPL	NG		51	608	60810		0		324	Africa/Lagos	2016-06-22
7012057	Masuki	Masuki		13.76149	5.54729	P	PPL	NG		51	604	60406		0		336	Africa/Lagos	2016-06-22
7012058	Biyangadi	Biyangadi		13.75535	5.60314	P	PPL	NG		51	604	60406		0		349	Africa/Lagos	2016-06-22
7012059	Kunu	Kunu		13.74167	5.62359	P	PPL	NG		51	604	60402		0		361	Africa/Lagos	2016-06-22
7012060	Tudun Madugu	Tudun Madugu		13.72716	5.69693	P	PPL	NG		51	604	60402		0		306	Africa/Lagos	2016-06-22
7012061	Gedi	Gedi	Baredi,Gedi	13.7066	5.693	P	PPL	NG		51	604	60405		0		307	Africa/Lagos	2016-06-22
7012062	Dantudu	Dantudu		13.72726	5.70901	P	PPL	NG		51	604	60405		0		303	Africa/Lagos	2016-06-22
7012063	Gidan Zomo	Gidan Zomo		13.71645	5.71621	P	PPL	NG		51	604	60405		0		297	Africa/Lagos	2016-06-22
7012064	Kuruhi	Kuruhi		13.65117	5.97734	P	PPL	NG		51	613	61310		0		289	Africa/Lagos	2016-06-22
7012065	Tudumasana	Tudumasana		13.64365	5.97119	P	PPL	NG		51	613	61310		0		293	Africa/Lagos	2016-06-22
7012066	Tsartawa	Tsartawa		13.6659	5.92138	P	PPL	NG		51	604	60403		0		301	Africa/Lagos	2016-06-22
7012067	Gidan Tambari	Gidan Tambari		13.65308	5.88016	P	PPL	NG		51	604	60403		0		312	Africa/Lagos	2016-06-22
7012068	Gundubul	Gundubul		13.67279	5.87624	P	PPL	NG		51	604	60403		0		285	Africa/Lagos	2016-06-22
7012069	Darnawa	Darnawa		13.64969	5.86214	P	PPL	NG		51	604	60403		0		309	Africa/Lagos	2016-06-22
7012070	Kagoya	Kagoya		13.66378	5.85133	P	PPL	NG		51	604	60403		0		283	Africa/Lagos	2016-06-22
7012071	Gidan Abudu	Gidan Abudu		13.66982	5.84084	P	PPL	NG		51	604	60403		0		283	Africa/Lagos	2016-06-22
7012072	Gilbedi	Gilbedi		13.65891	5.81816	P	PPL	NG		51	604	60403		0		283	Africa/Lagos	2016-06-22
7012073	Runbukawa	Runbukawa		13.68593	5.81933	P	PPL	NG		51	604	60403		0		286	Africa/Lagos	2016-06-22
7012074	Gilbedi	Gilbedi		13.65848	5.80396	P	PPLQ	NG		51	604	60403		0		282	Africa/Lagos	2016-06-22
7012075	Tsururu	Tsururu		13.63443	5.78097	P	PPL	NG		51	604	60408		0		302	Africa/Lagos	2016-06-22
7012076	Gidan Leo	Gidan Leo		13.60486	5.99599	P	PPL	NG		51	613	61311		0		291	Africa/Lagos	2016-06-22
7012077	Bukaza	Bukaza		13.58027	5.9784	P	PPL	NG		51	613	61311		0		288	Africa/Lagos	2016-06-22
7012078	Hunkui	Hunkui		13.58112	5.96579	P	PPL	NG		51	613	61310		0		295	Africa/Lagos	2016-06-22
